"id","summary_title","coords","lat","lng","URI","apiURI"
"term-116332","St Thomas","49.4972,3.8202","49.4972","3.8202","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116332","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116332"
"term-116333","South Molton","51.0171,-3.8331","51.0171","-3.8331","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116333","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116333"
"term-116334","Tiverton","50.9026,-3.4876","50.9026","-3.4876","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116334","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116334"
"term-116335","Uplyme","50.7378,-2.9671","50.7378","-2.9671","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116335","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116335"
"term-116336","Blandford","46.2487,-72.0023","46.2487","-72.0023","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116336","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116336"
"term-116337","Corfe Castle","50.6389,-2.0572","50.6389","-2.0572","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116337","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116337"
"term-116338","Dorchester (Dorset)","50.7132,-2.4371","50.7132","-2.4371","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116338","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116338"
"term-116339","Melcombe Regis","50.6235,-2.4555","50.6235","-2.4555","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116339","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116339"
"term-116340","Poole","50.7402,-1.9538","50.7402","-1.9538","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116340","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116340"
"term-116341","Shaftesbury","51.0056,-2.1956","51.0056","-2.1956","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116341","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116341"
"term-116342","Wimborne","-30.6866,150.6485","-30.6866","150.6485","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116342","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116342"
"term-116343","Barnard Castle","54.5431,-1.9182","54.5431","-1.9182","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116343","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116343"
"term-116344","Hartlepool","54.6857,-1.2094","54.6857","-1.2094","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116344","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116344"
"term-116345","Bardfield","51.5649,0.4865","51.5649","0.4865","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116345","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116345"
"term-116346","Billericay","51.6284,0.4218","51.6284","0.4218","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116346","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116346"
"term-116347","Black Notley","51.8474,0.5458","51.8474","0.5458","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116347","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116347"
"term-116348","Bocking","51.8838,0.5499","51.8838","0.5499","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116348","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116348"
"term-116349","Brook Street","51.1847,0.2622","51.1847","0.2622","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116349","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116349"
"term-116350","Chipping Ongar","51.7094,0.2453","51.7094","0.2453","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116350","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116350"
"term-116351","Dunmow","51.8678,0.3682","51.8678","0.3682","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116351","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116351"
"term-116352","Great Chesterford","52.0652,0.1991","52.0652","0.1991","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116352","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116352"
"term-116353","Halstead","38.0014,-97.5087","38.0014","-97.5087","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116353","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116353"
"term-116354","Harwich","51.9446,1.2899","51.9446","1.2899","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116354","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116354"
"term-116355","Henham","51.9322,0.2467","51.9322","0.2467","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116355","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116355"
"term-116356","Manewden","character(0)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116356","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116356"
"term-116357","Moulsham","51.7266,0.4713","51.7266","0.4713","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116357","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116357"
"term-116358","Much Clafton","character(0)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116358","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116358"
"term-116359","Newport Pont","51.6035,-3.0954","51.6035","-3.0954","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116359","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116359"
"term-116360","Quendon","51.953,0.2026","51.953","0.2026","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116360","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116360"
"term-116361","Saffron Walden","52.0216,0.2411","52.0216","0.2411","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116361","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116361"
"term-116362","Terling","51.8014,0.5623","51.8014","0.5623","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116362","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116362"
"term-116363","Thaxted","51.9525,0.3438","51.9525","0.3438","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116363","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116363"
"term-116364","Waltham Abbey","51.6892,-9e-04","51.6892","-9e-04","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116364","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116364"
"term-116365","West Ham","51.5281,0.0046","51.5281","0.0046","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116365","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116365"
