"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-200002819","Sung Wares and the Saljuq Pottery of Persia","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002819","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002819"
"publication-200002820","W(***) Enamelled Creamware, The Daniel & Brown Connection","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002820","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002820"
"publication-200002821","W(***) Leaf Dishes in Creamware and Green Glaze","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002821","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002821"
"publication-200002822","W(***), a mark of Reference","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002822","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002822"
"publication-200002823","Master E.S. and the Folly of Love","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002823","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002823"
"publication-200002824","Chronique de l’orfèvrerie et de l’émaillerie anciennes de Limoges en 1912","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002824","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002824"
"publication-200002825","Apothecaries in the Haymarket and their Unguent Pots","London","1976","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002825","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002825"
"publication-200002826","Jacob Meyer-Heine (1805-1879) et l’atelier d’émaillage sur métaux à la manufacture de Sèvres","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002826","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002826"
"publication-200002828","English Medical Pottery","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002828","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002828"
"publication-200002829","'Die romische Bestellung'. Die Meissener Altar-Garnitur di August III dem Kardinal annibale Albani im Jahre 1737 schenkte","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002829","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002829"
"publication-200002831","French Glass in the British Museum Collection","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002831","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002831"
"publication-200002832","Emmanuel Cooper, Distinguished and distinctive British potter","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002832","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002832"
"publication-200002834","Sweet Glasses. Syllabubs and Jellies","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002834","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002834"
"publication-200002835","18th century glasses for the dessert","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002835","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002835"
"publication-200002846","Tinworth Diary: Doulton's Ceramic Sculptor","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002846","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002846"
"publication-200002847","Staffordshire Pottery Figures","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002847","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002847"
"publication-200002848","New Affiliations for a Classical Persian Pottery Type","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002848","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002848"
"publication-200002849","IlKhanid Courtly Life","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002849","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002849"
"publication-200002850","Voltaire and Rousseau","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002850","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002850"
"publication-200002851","Le problème des ateliers d’étoiles de faïence lustrée","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002851","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002851"
"publication-200002852","D'or et d'émaux: les gémellions armoriés de Limoges dans l'emblématique au XIIIe siècle","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002852","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002852"
"publication-200002855","Pierre Reymond, Emailleur à Limoges","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002855","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002855"
"publication-200002856","Exposition Historique de l'Art Ancien, Les Grandes Collections au Trocadero, Collections de MM les Barons de Rothschild (suite) Emaux","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002856","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002856"
"publication-200002858","Archaeological Excavations at Kom-el-Dik. A Preliminary Report on the Medieval Pottery","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002858","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002858"
"publication-200002859","Ceramic Evidence for Political Transformations in Early Mamluk Egypt","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002859","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002859"
"publication-200002860","Das Tucherservice","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002860","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002860"
"publication-200002863","The Wood Family","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002863","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002863"
"publication-200002864","'To put you in mind of a red Pot teapot'; English Red Stoneware of the Eighteenth Century","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002864","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002864"
"publication-200002865","Seventeenth Century Pottery Sites at Harlow, Essex","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002865","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002865"
