"id","summary_title","venue","venueURI","venueAPIURI","venueID","earliestDate","latestDate","URI","apiURI"
"exhibition-645","Ivon Hitchens, retrospective exhibition","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1973","1973","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-645","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-645"
"exhibition-646","Ivon Hitchens","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1947","1903","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-646","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-646"
"exhibition-647","Hogarth","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1971","1972","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-647","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-647"
"exhibition-649","(British Institution, 1817)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1817","1817","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-649","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-649"
"exhibition-65","Unbekannte Schonheit","Zürich","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106433","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106433","term-106433","1956","1956","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-65","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-65"
"exhibition-650","A century of British art from 1737 to 1837","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1887","1888","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-650","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-650"
"exhibition-652","Londoners","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1987","1908","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-652","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-652"
"exhibition-653","William Hogarth","Manchester","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-108153","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-108153","term-108153","1954","1954","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-653","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-653"
"exhibition-654","Rococo: Art and Design in Hogarth's England","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1984","1984","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-654","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-654"
"exhibition-655","La peinture britannique de Gainsborough à Bacon","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-655","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-655"
