"id","summary_title","description","created","modified","URI","apiURI","parentTitle","parentURI","parentAPIURI","relatedTitle","relatedURI","relatedAPIURI"
"term-13851","Jiaqing (1796-1820)","NULL","1045526400000","1439390527000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-13851","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-13851","Qing Dynasty","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-13866","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-13866","NULL","NULL","NULL"
"term-138560","1782-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138560","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138560","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138561","1858-late 19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138561","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138561","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138562","19th century-1911","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138562","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138562","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138563","c. 1730s","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138563","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138563","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138564","1780s-1790s","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138564","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138564","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138565","1770s-1790s","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138565","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138565","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138566","1790s-1840s","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138566","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138566","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138567","1761-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138567","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138567","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138568","1772-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138568","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138568","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138569","1777-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138569","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138569","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138570","1783-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138570","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138570","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138571","1770-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138571","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138571","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138572","1780s-19th century","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138572","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138572","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138573","1840s-1870s","NULL","1625443200000","1625493502000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138573","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138573","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138589","9th century-1215","NULL","1626307200000","1626353348000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138589","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138589","NULL","NULL","NULL","NULL","NULL","NULL"
"term-13866","Qing Dynasty","NULL","1045526400000","1553781222000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-13866","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-13866","<Chinese dynastic styles and periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-12085","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-12085","Manchu","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-12086","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-12086"
"term-138941","c. 5th century BC","NULL","1629676800000","1629721741000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138941","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138941","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138943","990s?","NULL","1629676800000","1629727547000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138943","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138943","NULL","NULL","NULL","NULL","NULL","NULL"
"term-138944","6th century AD","NULL","1629849600000","1629887806000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-138944","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-138944","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139064","1980s-1990","NULL","1630886400000","1630922855000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139064","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139064","NULL","NULL","NULL","NULL","NULL","NULL"
